name,ra,dec,size,mag
1,09h24m38s,+49d21m24s,2.3,12.2
2,16h16m18s,+47d02m47s,2.8,13.2
3,22h36m34s,-02d54m19s,2.5,13.4
4,01h48m26s,-12d22m55s,2.8,13.7
5,11h24m25s,+03d19m39s,2.1,12.8
6,08h13m15s,+45d59m28s,1.7,12.3
7,08h50m18s,-16d34m35s,1.3,14.5
8,01h22m23s,-00d52m29s,2.1,13.0
9,08h15m00s,+73d34m49s,3.0,11.9
10,02h18m26s,+05d39m14s,1.5,13.8
11,01h09m23s,+14d20m12s,1.5,14.4
12,08h35m17s,+28d28m24s,2.3,12.2
13,23h00m02s,+15d59m22s,2.7,11.6
14,22h35m46s,-26d03m03s,4.6,10.9
15,22h51m39s,-05d33m28s,2.0,12.6
16,11h20m15s,+12d59m21s,9.1,8.9
17,07h44m33s,+73d49m50s,0.9,14.7
18,12h05m35s,+50d32m31s,5.8,10.5
19,00h31m45s,-05d09m12s,1.8,13.2
20,04h19m54s,+02d05m43s,1.2,14.4
21,11h04m58s,+30d01m37s,0.8,14.7
22,11h59m30s,-19d19m54s,0.9,14.9
22,11h59m30s,-19d15m48s,3.2,11.2
23,12h41m32s,+41d09m02s,4.2,10.8
24,10h54m36s,+56d59m27s,1.6,12.6
24,10h54m45s,+56d58m00s,0.5,12.8
25,07h27m13s,+85d45m20s,2.8,11.4
26,14h03m13s,+54d21m02s,28.9,7.9
27,11h21m03s,+53d10m16s,5.0,10.4
28,23h28m28s,+22d25m16s,2.4,11.8
29,20h34m52s,+60d09m14s,11.6,8.8
30,17h22m43s,+62d10m27s,1.3,12.2
30,17h22m43s,+62d09m57s,1.1,13.8
31,01h51m08s,+21d54m51s,2.9,13.6
32,17h13m11s,+59d19m58s,1.2,14.3
33,13h37m24s,+06d26m10s,1.4,15.3
33,13h37m25s,+06d25m45s,1.4,15.0
34,12h41m37s,+26d04m20s,1.6,13.1
35,00h22m23s,-01d18m13s,1.5,15.0
36,13h34m15s,+31d25m31s,1.3,15.0
37,02h42m41s,-00d00m47s,7.1,8.9
38,17h29m36s,+75d42m17s,2.5,11.7
39,03h29m42s,-22d16m45s,1.6,13.0
40,13h29m20s,+37d24m31s,0.8,15.0
41,03h09m45s,-20d34m44s,0.9,14.7
41,03h09m45s,-20d34m44s,7.5,10.1
42,15h02m38s,+23d20m56s,0.4,15.5
42,15h02m42s,+23d19m57s,1.8,13.3
43,10h24m15s,+16d44m36s,1.8,13.2
44,10h25m33s,-02d13m16s,1.5,14.1
45,14h19m27s,+51d55m15s,0.7,15.4
45,14h19m51s,+51d54m16s,1.1,15.5
46,23h33m41s,+30d02m35s,1.2,15.0
47,14h47m12s,+18d51m30s,0.8,15.0
49,14h32m26s,+08d04m46s,1.9,12.0
50,23h57m58s,-14d01m48s,0.5,14.0
51,00h06m17s,-13d26m53s,0.8,15.0
53,10h35m17s,-17d16m30s,1.0,14.4
54,02h24m00s,-04d41m48s,0.5,17.1
54,02h24m02s,-04d41m38s,1.0,15.0
55,09h15m56s,+44d19m57s,1.0,14.9
56,01h57m26s,+17d13m03s,0.9,14.6
57,13h16m40s,+14d26m12s,0.9,15.5
57,13h16m40s,+14d25m12s,0.5,14.8
58,08h31m58s,+19d12m48s,1.8,14.2
59,01h00m46s,-09d11m08s,1.1,14.5
59,01h00m48s,-09d11m15s,0.3,14.7
61,04h36m42s,-02d17m13s,1.0,15.1
63,09h39m20s,+32d18m21s,0.2,16.0
63,09h39m17s,+32d18m38s,1.1,14.0
64,14h45m26s,+19d27m53s,1.5,15.0
65,00h21m52s,+22d24m01s,2.2,13.7
66,16h26m53s,+51d33m20s,1.2,14.6
67,01h21m17s,-00d32m42s,1.6,14.0
68,23h48m45s,+04d10m24s,2.5,12.7
69,14h20m26s,+35d11m19s,1.9,13.6
70,01h23m28s,+30d47m05s,1.7,15.0
71,16h05m08s,+17d45m27s,1.3,13.9
72,15h46m53s,+17d52m21s,0.4,14.2
72,15h46m59s,+17d53m08s,1.8,12.8
73,16h35m09s,+46d12m50s,1.7,13.5
74,02h08m21s,+41d28m46s,1.6,14.1
75,01h51m18s,-04d03m21s,1.6,11.9
76,12h36m50s,+13d09m46s,9.7,9.5
77,02h46m19s,-30d16m28s,9.4,9.2
77,02h46m10s,-30d13m45s,0.8,13.6
78,01h59m20s,+19d00m22s,7.3,10.3
78,01h59m14s,+18d57m16s,1.1,13.9
79,14h10m07s,+17d36m55s,1.2,13.9
80,08h48m07s,+74d05m58s,2.5,12.2
81,18h13m00s,+68d21m12s,0.5,15.3
81,18h12m55s,+68d21m50s,2.1,12.8
82,08h11m16s,+25d10m45s,0.9,14.2
82,08h11m14s,+25d12m26s,2.5,12.8
83,11h40m13s,+15d20m34s,2.0,12.7
83,11h40m09s,+15d19m38s,0.8,14.0
84,13h58m38s,+37d25m32s,2.9,11.4
84,13h58m34s,+37d27m13s,1.8,13.0
85,13h29m59s,+47d16m04s,5.8,9.6
85,13h29m52s,+47d11m54s,11.4,8.4
86,23h46m58s,+29d27m32s,0.8,14.3
86,23h47m05s,+29d29m01s,3.3,12.0
87,11h40m44s,+22d26m51s,0.6,11.5
87,11h40m44s,+22d25m40s,1.7,13.4
89,08h42m40s,+14d17m09s,3.3,12.7
90,15h26m06s,+41d40m14s,1.0,13.6
90,15h26m08s,+41d40m33s,1.7,12.2
91,15h34m32s,+15d11m42s,1.6,12.1
91,15h34m35s,+15d12m12s,1.3,12.1
92,23h18m57s,+00d14m38s,1.6,13.2
93,22h28m36s,-24d50m39s,2.1,11.9
93,22h28m38s,-24d50m27s,2.4,11.9
94,10h23m31s,+19d51m54s,5.4,10.3
94,10h23m27s,+19d53m54s,3.2,11.4
95,14h35m04s,+26d32m27s,0.3,16.0
95,14h35m02s,+26d32m38s,1.3,15.2
95,14h34m55s,+26d29m55s,0.4,15.8
96,07h03m01s,+86d36m12s,0.8,14.8
96,07h03m22s,+86d33m28s,0.9,14.8
97,12h05m46s,+31d04m45s,0.4,15.7
97,12h05m45s,+31d03m35s,2.7,15.6
98,01h32m08s,+32d06m13s,1.1,16.0
98,01h32m17s,+32d05m25s,0.3,15.0
99,23h15m04s,+18d58m23s,1.1,13.7
99,23h15m16s,+18d57m41s,1.4,12.2
99,23h15m17s,+19d02m30s,2.8,13.0
100,00h28m38s,-11d34m25s,1.5,15.0
100,00h28m40s,-11d38m27s,0.8,15.0
101,16h04m32s,+14d49m08s,2.1,14.7
101,16h04m24s,+14d46m51s,1.1,15.5
102,17h19m30s,+49d03m01s,0.7,14.9
102,17h19m21s,+49d02m25s,0.9,14.9
102,17h19m14s,+48d58m49s,0.9,15.5
103,16h49m28s,+45d27m41s,0.4,15.2
103,16h49m33s,+45d29m53s,0.4,14.6
103,16h49m26s,+45d27m30s,1.4,14.6
104,13h32m11s,+62d46m03s,1.8,12.3
104,13h32m08s,+62d42m03s,2.5,12.6
105,11h11m13s,+28d41m45s,0.7,15.0
105,11h11m13s,+28d42m42s,0.9,14.7
106,12h15m36s,+28d10m38s,1.0,13.6
106,12h15m37s,+28d10m08s,1.5,14.7
107,10h52m18s,+30d04m03s,1.9,14.6
108,03h03m05s,-22d13m02s,0.6,15.0
108,03h03m07s,-22d12m24s,1.0,14.0
109,15h48m08s,+69d27m33s,0.5,15.2
109,15h47m51s,+69d28m10s,1.2,15.0
110,22h54m09s,-15d14m14s,0.7,15.9
111,14h01m41s,+33d49m33s,0.4,17.0
111,14h01m41s,+33d49m45s,1.2,13.4
112,00h01m30s,+31d26m33s,1.1,13.5
112,00h01m27s,+31d26m02s,1.2,13.3
113,00h18m22s,+30d04m50s,1.4,14.5
114,07h32m20s,+85d42m31s,2.8,12.1
115,11h42m54s,+26d17m21s,0.5,15.8
115,11h43m03s,+26d16m36s,0.9,15.5
115,11h42m54s,+26d17m21s,0.5,15.9
116,12h43m40s,+11d33m10s,7.5,8.8
116,12h43m32s,+11d34m55s,2.9,11.4
117,14h10m04s,+17d44m01s,5.4,14.3
117,14h10m00s,+17d41m46s,1.3,14.6
120,12h27m45s,+13d00m31s,8.6,10.1
120,12h27m40s,+13d04m44s,2.8,10.9
121,00h59m23s,-04d48m50s,0.9,14.5
121,00h59m23s,-04d48m15s,2.1,14.5
122,16h04m26s,+17d44m37s,0.8,14.9
122,16h04m27s,+17d45m02s,1.4,13.6
123,05h22m35s,-11d29m49s,0.7,13.3
123,05h22m32s,-11d29m42s,3.0,12.0
124,17h18m41s,+60d36m24s,2.2,13.1
125,16h38m14s,+41d55m51s,1.1,13.6
126,01h58m05s,+03d06m05s,1.2,14.5
126,01h58m06s,+03d05m06s,0.4,13.9
127,00h39m00s,-09d00m52s,0.7,14.2
127,00h39m00s,-09d00m07s,1.5,12.5
128,01h17m24s,+14d41m48s,0.7,15.4
129,09h39m26s,+32d21m54s,0.8,16.1
129,09h39m24s,+32d21m45s,0.5,14.0
130,00h02m38s,+16d39m08s,0.5,15.6
131,02h47m20s,-14d48m07s,1.0,14.5
131,02h47m34s,-14d46m30s,0.7,15.0
132,11h19m21s,-03d05m26s,0.4,15.5
133,01h25m44s,-01d22m47s,1.8,12.1
134,12h29m46s,+07d59m47s,10.3,8.4
135,02h40m24s,+39d03m46s,8.8,9.3
136,14h58m40s,+53d53m10s,1.7,12.5
137,09h34m03s,+10d06m31s,1.0,13.2
138,11h58m43s,+25d02m11s,0.9,14.0
138,11h58m43s,+25d02m40s,1.4,14.2
139,13h07m24s,+26d43m00s,1.0,15.8
139,13h07m28s,+26d43m24s,1.0,16.3
140,00h51m02s,-07d03m24s,1.5,13.0
140,00h51m05s,-07d03m48s,1.6,12.5
141,07h14m21s,+73d28m51s,2.8,12.5
142,09h37m45s,+02d44m50s,2.1,13.6
142,09h37m44s,+02d45m38s,1.3,13.5
143,07h46m55s,+39d01m01s,1.4,13.3
143,07h46m53s,+39d01m55s,1.2,13.2
144,00h06m29s,-13d25m15s,0.7,14.6
144,00h06m27s,-13d24m58s,0.9,14.4
145,02h23m08s,+41d22m20s,1.6,18.8
147,03h11m18s,+01d18m50s,0.7,15.0
148,11h04m00s,+40d50m49s,0.6,15.4
149,12h39m42s,+16d35m32s,0.8,16.0
150,23h19m30s,+09d30m29s,1.3,14.1
151,11h25m36s,+54d22m57s,1.3,16.8
152,12h30m49s,+12d23m28s,8.4,8.6
153,13h25m28s,-43d01m09s,25.9,6.8
154,03h22m42s,-37d12m34s,12.1,8.2
155,11h23m38s,+53d50m30s,1.6,12.5
156,10h42m38s,+77d29m40s,1.3,15.0
157,01h24m35s,+03d47m37s,4.5,11.5
158,01h25m20s,+34d01m29s,2.5,13.5
159,12h51m45s,+25d46m28s,3.5,12.4
160,12h14m10s,+54d31m40s,1.8,12.5
161,11h42m12s,+00d20m03s,0.4,14.7
162,10h51m16s,+27d58m29s,3.6,10.8
163,12h45m17s,+27d07m31s,1.5,12.7
164,01h15m57s,+05d10m40s,2.0,12.6
165,07h36m38s,+17d53m06s,1.8,12.2
166,01h57m32s,+33d12m36s,1.7,12.9
166,01h57m33s,+33d12m22s,1.4,13.5
167,08h49m24s,+19d04m27s,1.2,13.3
167,08h49m22s,+19d04m30s,3.0,11.6
168,00h42m42s,+40d51m52s,8.8,9.0
169,22h14m47s,+13d50m26s,0.7,13.6
169,22h14m45s,+13d50m46s,0.7,13.0
170,23h17m12s,+18d42m03s,1.4,13.8
170,23h17m13s,+18d42m28s,1.1,13.8
171,14h40m37s,+03d27m10s,1.1,14.9
171,14h40m43s,+03d27m11s,1.5,12.9
172,16h05m33s,+17d36m05s,1.1,15.2
172,16h05m34s,+17d35m30s,0.8,15.9
173,14h51m26s,+09d19m42s,1.2,14.9
174,09h58m40s,+28d52m39s,0.9,14.3
175,12h33m11s,+11d20m39s,0.6,15.0
175,12h32m57s,+11d23m23s,0.2,13.6
175,12h32m52s,+11d24m15s,0.8,13.3
176,13h03m58s,-11d30m05s,0.5,17.5
176,13h03m54s,-11d30m22s,1.0,11.7
176,13h03m57s,-11d29m53s,1.8,12.7
177,14h55m49s,+24d35m55s,0.2,17.3
177,14h55m49s,+24d35m55s,0.4,18.0
178,14h24m06s,+34d53m32s,1.0,13.7
178,14h24m06s,+34d52m27s,0.2,14.5
178,14h24m08s,+34d51m31s,2.5,11.7
180,04h53m22s,-04d48m08s,1.1,14.8
181,10h28m16s,+79d49m24s,1.6,13.1
181,10h28m42s,+79d48m48s,1.1,13.0
182,23h27m57s,+08d46m45s,1.1,13.2
182,23h27m59s,+08d46m58s,0.2,13.6
183,13h34m55s,+31d23m33s,1.3,14.6
184,05h42m04s,+69d22m46s,4.6,11.0
185,16h32m40s,+78d11m57s,3.0,11.2
186,04h34m00s,-08d34m44s,1.3,13.6
187,05h04m53s,-10d14m52s,0.9,15.0
188,16h06m03s,+55d25m18s,3.6,14.4
189,12h43m43s,+16d23m40s,4.0,10.8
190,02h50m20s,+12d53m22s,0.5,15.2
191,11h07m20s,+18d25m47s,1.3,14.6
191,11h07m20s,+18d25m52s,0.3,14.7
192,10h37m00s,+18d08m13s,3.1,14.3
193,13h20m35s,+34d08m21s,1.6,14.4
194,11h57m52s,+36d23m18s,1.2,14.9
195,08h53m50s,+35d08m36s,1.9,14.5
197,11h31m00s,+20d28m13s,1.0,14.6
198,10h59m45s,+17d38m54s,1.3,15.3
199,14h17m02s,+36d34m20s,1.0,13.4
199,14h17m05s,+36d34m29s,1.3,15.2
200,02h53m41s,+13d00m55s,2.5,12.1
201,00h23m34s,-00d29m22s,0.5,16.0
202,09h00m15s,+35d43m39s,1.4,13.1
202,09h00m16s,+35d43m12s,0.9,13.5
203,11h31m09s,+28d34m04s,1.7,13.9
204,13h22m46s,+84d29m58s,0.8,16.4
205,10h54m39s,+54d18m23s,5.7,12.0
206,10h52m31s,+36d37m12s,6.8,11.3
206,10h52m17s,+36d35m43s,0.9,17.0
207,09h31m07s,+76d27m56s,1.2,15.4
208,16h51m03s,+47d13m15s,0.4,14.8
208,16h51m01s,+47d13m25s,0.4,15.0
209,16h05m13s,+20d32m33s,0.9,13.0
210,04h30m49s,+64d50m53s,3.7,11.0
211,12h37m19s,+38d43m30s,0.4,17.0
211,12h37m19s,+38d43m30s,0.6,16.0
212,23h20m30s,+17d13m32s,1.6,12.1
213,04h07m47s,+69d48m47s,5.3,10.5
214,11h32m36s,+53d03m59s,8.2,10.7
215,09h14m05s,+40d06m51s,3.5,11.7
216,23h29m04s,+03d32m00s,1.2,13.2
216,23h28m47s,+03d30m41s,1.4,12.9
217,10h38m46s,+53d30m07s,3.1,10.8
218,15h53m32s,+18d36m10s,0.9,15.4
219,03h39m52s,-02d06m48s,0.9,14.9
220,15h34m57s,+23d30m05s,1.8,13.1
220,15h34m57s,+23d30m16s,1.5,13.1
221,09h36m28s,-11d19m43s,1.3,14.0
222,23h39m54s,-12d17m31s,4.7,10.6
223,23h18m02s,-04d38m56s,2.3,11.4
224,11h51m07s,+55d04m45s,2.1,12.4
225,08h55m39s,+78d13m28s,4.9,10.1
226,22h20m45s,-24d40m43s,2.0,11.4
227,01h20m07s,+03d25m01s,7.1,11.5
227,01h19m45s,+03d24m37s,2.8,11.9
228,01h48m53s,+10d31m18s,1.6,13.7
229,01h23m41s,+33d16m51s,1.3,13.5
229,01h23m40s,+33d15m23s,3.1,14.1
230,00h46m24s,-13d26m32s,1.4,13.0
232,09h33m47s,+10d09m08s,4.1,11.5
233,10h32m32s,+54d24m03s,1.0,13.4
234,11h35m48s,+54d31m28s,2.5,11.9
235,00h08m46s,+15d48m56s,2.8,12.7
236,01h07m50s,-17d30m18s,0.7,15.5
236,01h07m48s,-17d30m24s,0.5,14.3
237,09h27m44s,+12d17m17s,0.4,16.0
238,13h15m35s,+62d07m26s,0.9,15.0
239,13h41m40s,+55d40m11s,1.4,12.7
239,13h41m44s,+55d40m22s,0.6,14.2
240,13h39m53s,+00d50m22s,1.8,12.9
240,13h39m58s,+00d49m55s,1.7,12.9
241,14h37m51s,+30d28m53s,1.1,15.0
242,12h46m11s,+30d43m28s,2.2,13.2
242,12h46m10s,+30d44m00s,2.3,13.0
243,08h38m24s,+25d45m01s,2.4,13.4
244,12h01m54s,-18d53m06s,3.1,10.3
244,12h01m53s,-18d51m54s,5.3,10.7
245,09h45m49s,-14d22m05s,1.4,12.6
245,09h45m42s,-14d19m35s,3.6,12.2
246,00h06m54s,+08d21m00s,0.7,14.3
246,00h06m51s,+08d21m05s,0.4,14.4
247,08h23m34s,+21d20m54s,1.1,15.4
247,08h23m33s,+21d20m17s,0.6,15.4
248,11h46m35s,-03d51m19s,1.2,14.5
248,11h46m45s,-03d50m34s,1.8,14.1
248,11h46m50s,-03d49m01s,1.0,15.0
249,00h00m22s,+22d59m42s,1.3,16.2
251,00h53m47s,-13d51m40s,0.9,15.5
252,09h45m00s,-19d42m45s,0.7,15.6
252,09h44m58s,-19d43m32s,0.8,15.3
253,09h43m24s,-05d16m46s,1.3,16.1
253,09h43m30s,-05d16m47s,1.2,14.3
254,15h21m32s,-07d22m38s,1.5,14.5
255,09h53m09s,+07d52m50s,1.1,14.3
256,00h18m50s,-10d21m42s,1.1,13.6
256,00h18m51s,-10d22m37s,1.1,14.8
257,08h51m38s,-02d22m00s,0.6,15.0
257,08h51m38s,-02d21m15s,1.5,17.0
258,02h39m06s,+18d22m58s,1.7,15.4
258,02h39m09s,+18d22m03s,0.9,15.5
259,05h01m38s,-04d15m28s,1.4,13.3
260,12h13m39s,+16d07m19s,1.4,14.8
262,23h56m45s,+16d48m45s,2.4,13.2
262,23h56m44s,+16d48m27s,0.5,14.6
263,10h25m05s,+17d09m35s,5.0,11.4
264,10h03m57s,+40d45m25s,3.4,13.1
265,12h53m53s,+36d05m10s,1.3,16.0
266,12h59m02s,+34d51m39s,4.0,12.3
267,10h36m43s,+31d32m51s,2.0,14.7
268,08h19m06s,+70d42m51s,8.0,10.7
269,12h30m31s,+41d41m58s,2.3,12.0
269,12h30m37s,+41d38m23s,6.4,9.8
270,10h49m50s,+32d58m50s,2.1,12.1
270,10h49m56s,+32d59m24s,3.1,12.2
271,14h03m25s,-06d04m10s,3.0,12.2
271,14h03m26s,-06d01m50s,2.8,11.4
272,16h05m31s,+17d46m09s,0.7,15.2
273,02h21m29s,+39d22m31s,2.2,13.7
273,02h21m32s,+39d21m23s,1.5,15.3
274,14h35m06s,+05d20m55s,1.1,13.0
274,14h35m08s,+05d21m35s,1.2,13.5
274,14h35m09s,+05d21m27s,0.2,15.0
275,09h25m55s,-11d59m01s,1.1,13.3
276,02h28m12s,+19d34m24s,1.3,14.8
276,02h28m11s,+19d36m00s,1.7,12.9
277,12h54m51s,+02d39m12s,1.8,13.7
277,12h54m51s,+02d38m25s,1.9,13.0
278,22h19m29s,+29d23m11s,1.6,14.2
278,22h19m26s,+29d23m53s,1.7,13.6
279,03h14m09s,-02d49m22s,5.3,11.7
279,03h14m23s,-02d48m13s,1.7,13.9
280,11h37m50s,+47d52m53s,1.1,14.2
280,11h37m44s,+47d53m28s,3.1,11.8
281,12h42m06s,+32d32m22s,15.5,9.3
281,12h42m00s,+32d34m25s,2.6,12.3
282,00h36m52s,+23d59m04s,0.8,14.0
282,00h36m52s,+23d59m30s,2.7,12.4
283,09h17m31s,+41d59m38s,1.9,14.0
283,09h17m23s,+41d59m58s,2.6,12.3
284,23h36m22s,+02d09m24s,2.6,14.2
284,23h36m14s,+02d09m18s,1.9,12.5
285,09h24m16s,+49d14m54s,1.1,13.1
285,09h24m03s,+49d12m14s,1.7,13.0
286,14h20m05s,+03d59m34s,3.7,12.4
286,14h20m20s,+03d55m59s,6.6,10.5
286,14h20m32s,+03d58m57s,1.7,13.2
287,09h02m39s,+25d56m06s,1.2,13.3
287,09h02m42s,+25d56m18s,0.2,15.8
288,13h34m56s,+13d49m55s,2.4,13.0
288,13h34m55s,+13d44m30s,1.6,13.1
289,11h56m07s,-19d53m42s,5.3,11.0
290,02h03m50s,+14d44m23s,2.8,14.2
290,02h03m45s,+14d42m31s,1.6,14.3
291,10h42m49s,+13d27m34s,1.2,13.7
292,09h54m33s,-06d51m27s,1.7,13.2
293,16h58m31s,+58d56m13s,1.3,13.3
293,16h58m24s,+58d57m21s,1.3,13.5
294,11h39m45s,+31d55m52s,2.2,12.6
294,11h39m43s,+31d54m33s,2.2,12.3
295,23h41m48s,-03d40m37s,1.9,14.5
295,23h42m04s,-03d35m21s,0.9,14.6
296,11h28m49s,+58d35m26s,0.7,15.7
297,14h45m14s,+38d43m44s,0.5,15.3
297,14h45m19s,+38d48m21s,0.4,14.8
297,14h45m20s,+38d43m53s,2.0,13.1
297,14h45m24s,+38d46m49s,1.3,14.1
298,23h03m16s,+08d52m26s,1.5,12.3
298,23h03m18s,+08d53m36s,0.8,13.8
299,11h28m33s,+58d33m47s,2.1,11.5
299,11h28m37s,+58d33m28s,1.2,11.3
300,09h28m03s,+68d25m17s,1.6,13.4
300,09h27m50s,+68d24m47s,0.7,13.9
301,11h09m52s,+24d15m44s,0.8,14.5
301,11h09m54s,+24d15m25s,1.5,14.6
302,14h57m01s,+24d37m01s,0.7,14.6
302,14h57m00s,+24d36m20s,0.9,15.3
303,09h46m20s,+03d02m41s,0.9,14.7
303,09h46m21s,+03d04m14s,1.7,14.1
304,03h11m19s,-08d54m07s,1.2,13.7
304,03h11m15s,-08d55m20s,2.8,12.0
305,11h58m29s,+27d31m44s,1.6,13.3
305,11h58m46s,+27d27m11s,1.8,12.2
306,01h32m29s,+04d35m45s,1.3,14.6
306,01h32m42s,+04d38m24s,0.9,14.5
307,09h25m42s,+11d25m55s,2.1,11.9
307,09h25m47s,+11d25m28s,2.4,12.5
308,01h26m01s,-01d20m44s,1.3,12.2
308,01h26m00s,-01d20m25s,2.4,12.2
309,02h29m09s,-10d49m37s,3.4,11.4
309,02h29m10s,-10d50m10s,3.4,11.2
311,17h27m32s,+58d28m33s,0.6,15.8
311,17h27m17s,+58d29m08s,0.9,14.4
312,16h49m48s,+46d43m05s,1.1,14.1
313,11h57m37s,+32d16m41s,1.1,12.7
313,11h57m45s,+32d17m42s,2.8,12.4
314,22h58m07s,-03d47m23s,1.3,13.8
314,22h58m01s,-03d46m08s,1.1,13.7
314,22h58m11s,-03d48m55s,1.1,16.0
315,09h19m47s,+33d45m00s,2.4,11.9
315,09h19m45s,+33d44m40s,1.4,12.3
316,10h18m25s,+21d53m34s,3.0,10.9
316,10h17m48s,+21d52m23s,3.0,13.4
316,10h18m06s,+21d49m53s,4.4,12.0
317,11h20m16s,+13d35m22s,14.8,9.5
317,11h18m55s,+13d05m35s,9.9,9.3
318,02h09m21s,-10d08m00s,1.5,12.7
318,02h09m25s,-10d08m09s,1.3,12.1
318,02h09m38s,-10d08m48s,1.2,13.4
318,02h09m43s,-10d11m02s,1.5,13.1
319,22h36m04s,+33d56m41s,2.2,12.6
319,22h35m58s,+33d57m58s,1.9,13.4
319,22h35m57s,+33d57m56s,0.9,13.4
319,22h35m52s,+33d56m41s,1.1,13.6
319,22h36m04s,+33d58m33s,1.7,13.1
320,11h37m49s,+22d01m33s,0.7,14.8
320,11h37m44s,+22d00m33s,1.1,14.2
320,11h37m45s,+22d01m15s,0.4,15.2
320,11h37m52s,+21d58m27s,0.8,13.9
320,11h37m54s,+21d58m51s,1.7,13.6
320,11h37m54s,+21d56m10s,0.8,13.9
320,11h37m55s,+21d59m08s,0.4,15.1
321,09h38m53s,-04d51m34s,1.1,13.8
321,09h38m56s,-04d50m14s,0.9,15.0
321,09h38m55s,-04d51m28s,0.7,17.4
321,09h38m55s,-04d51m58s,1.1,15.1
321,09h38m53s,-04d50m56s,1.4,15.7
322,11h32m40s,+52d57m01s,1.1,15.0
323,23h54m10s,+00d22m58s,1.3,13.0
323,23h54m12s,+00d22m38s,0.4,14.0
324,16h02m09s,+15d53m17s,0.8,15.5
324,16h02m13s,+15d56m14s,0.6,15.1
325,22h06m22s,-21d04m21s,1.7,18.1
326,13h37m19s,+06d28m44s,1.2,15.4
327,05h21m46s,+06d41m19s,1.6,13.6
328,14h47m57s,+19d02m41s,0.3,16.1
328,14h47m55s,+19d03m37s,0.6,16.1
328,14h47m55s,+19d03m04s,0.3,18.6
328,14h47m56s,+19d03m24s,0.2,16.0
328,14h47m53s,+19d04m37s,0.5,16.1
331,01h07m16s,+32d31m17s,1.4,12.6
331,01h07m25s,+32d17m34s,1.1,13.0
331,01h07m24s,+32d24m13s,0.7,14.0
331,01h07m25s,+32d24m45s,1.6,11.9
331,01h07m28s,+32d19m16s,1.1,12.9
331,01h07m31s,+32d21m44s,0.9,14.1
331,01h07m47s,+32d18m36s,0.9,14.3
331,01h07m18s,+32d29m02s,1.4,12.5
332,03h08m28s,-23d03m04s,2.0,13.2
332,03h08m26s,-23d02m17s,0.6,16.8
332,03h08m16s,-22d59m03s,0.6,15.4
332,03h08m11s,-22d55m28s,1.5,13.2
332,03h08m11s,-22d57m37s,1.4,13.9
333,02h39m12s,+10d50m50s,3.9,12.1
334,13h30m26s,+31d37m13s,2.8,13.6
335,11h04m24s,+04d49m49s,2.1,12.7
336,08h55m35s,+58d44m01s,4.5,11.2
337,09h55m52s,+69d40m46s,11.4,8.4
